PartNumber,Manufacturer,ProductStatus,Switch Circuit,Multiplexer/Demultiplexer Circuit,On-State Resistance (Max),Package,AdditionalKeyinformation_Interface,Quantity,DatasheetUrl,PhotoUrl,Description
MAX359CPE,Analog Devices Inc.,Obsolete,SP4T,4:1,1.8kOhm,Tube,,0,https://pdfserv.maximintegrated.com/en/ds/HI-508A-MAX359.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/175_16-DIP.jpg,IC SWITCH SP4T X 2 1.8KOHM 16DIP
MAX359CWE,Analog Devices Inc.,Obsolete,SP4T,4:1,1.8kOhm,Tube,,0,https://pdfserv.maximintegrated.com/en/ds/HI-508A-MAX359.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2294/175%3B21-0042%3BWE%3B16.jpg,IC SWITCH SP4TX2 1.8KOHM 16SOIC
MAX389CPN,Analog Devices Inc.,Obsolete,SP4T,4:1,3kOhm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX388-MAX389.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/376/18-Dip.jpg,IC SWITCH SP4T X 2 3KOHM 18DIP
MM74HC4051N,onsemi,Obsolete,-,8:1,100Ohm,Tube,,0,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/967/MM74HC405x.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4955/488%3BMKT-N16E%3B%3B16.jpg,IC MUX 8:1 100OHM 16DIP
MM74HC4316N,onsemi,Obsolete,SPST - NO,1:1,70Ohm,Tube,,0,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/730/MM74HC4316.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4955/488%3BMKT-N16E%3B%3B16.jpg,IC SWITCH SPST-NOX4 70OHM 16DIP
MM74HC4052N,onsemi,Obsolete,SP4T,4:1,100Ohm,Tube,,0,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/967/MM74HC405x.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4955/488%3BMKT-N16E%3B%3B16.jpg,IC SWITCH SP4T X 2 100OHM 16DIP
MM74HC4053WM,onsemi,Obsolete,SPDT,2:1,100Ohm,Tube,,0,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/967/MM74HC405x.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2476/16%20SOIC.jpg,IC SWITCH SPDT X 3 100OHM 16SOIC
MM74HC4316WM,onsemi,Obsolete,SPST - NO,1:1,70Ohm,Tube,,0,,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2476/16%20SOIC.jpg,IC SWITCH SPST-NOX4 70OHM 16SOIC
MM74HC4051WM,onsemi,Obsolete,-,8:1,100Ohm,Tube,,0,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/967/MM74HC405x.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2476/16%20SOIC.jpg,IC MUX 8:1 100OHM 16SOIC
MM74HC4053N,onsemi,Obsolete,SPDT,2:1,100Ohm,Tube,,0,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/967/MM74HC405x.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4955/488%3BMKT-N16E%3B%3B16.jpg,IC SWITCH SPDT X 3 100OHM 16DIP
MM74HC4066N,onsemi,Obsolete,SPST - NO,1:1,70Ohm,Tube,,0,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1028/MM74HC4066.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/376/14PDIP.jpg,IC SWITCH SPST-NOX4 70OHM 14MDIP
DG508ACJ,Analog Devices Inc.,Obsolete,-,8:1,450Ohm,Tube,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/DG508A-DG509A.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/175_16-DIP.jpg,IC MUX 8:1 450OHM 16DIP
DG509ACJ,Analog Devices Inc.,Obsolete,SP4T,4:1,450Ohm,Tube,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/DG508A-DG509A.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/175_16-DIP.jpg,IC SWITCH SP4T X 2 450OHM 16DIP
DG418DY,Analog Devices Inc.,Obsolete,SPST - NO,1:1,35Ohm,Tube,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/DG417-DG419.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/192/175%7E21-0041%7ESA%7E8.JPG,IC SWITCH SPST-NOX1 35OHM 8SOIC
DG211CSE,Analog Devices Inc.,Obsolete,SPST - NC,1:1,175Ohm,Tube,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/DG201A-DG211.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/175_16%20SOIC.jpg,IC SW SPST-NCX4 175OHM 16SOIC
DG406DJ,Analog Devices Inc.,Obsolete,-,16:1,100Ohm,Tube,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/DG406-DG407.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/370/28-PDip.jpg,IC MUX 16:1 100OHM 28DIP
DG384ACK,Analog Devices Inc.,Obsolete,DPST - NO,2:1,50Ohm,Bag,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/DG381A-DG390A.pdf,,IC SWITCH DPST-NOX2 50OHM 14CDIP
CD4066BCM,onsemi,Obsolete,SPST,1:1,240Ohm,Tube,,0,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1092/CD4066BC.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2518/488%7EMKT-M14A%7EM%2C%20SC%7E14.jpg,IC QUAD BILATERAL SWITCH 14SOIC
MAX394CPP,Analog Devices Inc.,Obsolete,SPDT,2:1,35Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX394.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/952/175-20-DIP.jpg,IC SWITCH SPDT X 4 35OHM 20DIP
HI3-0201-5,Analog Devices Inc.,Obsolete,SPST - NC,1:1,80Ohm,Tube,,0,,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/175_16-DIP.jpg,IC SWITCH SPST-NCX4 80OHM 16DIP
MAX301CPE,Analog Devices Inc.,Obsolete,SPST - NO,1:1,35Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX301-MAX305.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/175_16-DIP.jpg,IC SWITCH SPST-NOX2 35OHM 16DIP
MAX301CSE,Analog Devices Inc.,Obsolete,SPST - NO,1:1,35Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX301-MAX305.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/175_16%20SOIC.jpg,IC SWITCH SPST-NOX2 35OHM 16SOIC
MAX303CPE,Analog Devices Inc.,Obsolete,SPDT,2:1,35Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX301-MAX305.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/175_16-DIP.jpg,IC SWITCH SPDT X 2 35OHM 16DIP
MAX305CPE,Analog Devices Inc.,Obsolete,DPST - NO,2:1,35Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX301-MAX305.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/175_16-DIP.jpg,IC SWITCH DPST-NOX2 35OHM 16DIP
MAX305CSE,Analog Devices Inc.,Obsolete,DPST - NO,2:1,35Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX301-MAX305.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/175_16%20SOIC.jpg,IC SWITCH DPST-NOX2 35OHM 16SOIC
MAX306CPI,Analog Devices Inc.,Obsolete,-,16:1,100Ohm,Tube,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/max306-max307.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/370/28-PDip.jpg,IC MUX 16:1 100OHM 28DIP
MAX306CWI,Analog Devices Inc.,Obsolete,-,16:1,100Ohm,Tube,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/max306-max307.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/321/28-SOIC.jpg,IC MUX 16:1 100OHM 28SOIC
MAX307CPI,Analog Devices Inc.,Obsolete,-,8:1,100Ohm,Tube,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/max306-max307.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/370/28-PDip.jpg,IC MUX DUAL 8:1 100OHM 28DIP
MAX307CWI,Analog Devices Inc.,Obsolete,-,8:1,100Ohm,Tube,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/max306-max307.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/321/28-SOIC.jpg,IC MUX DUAL 8:1 100OHM 28SOIC
MAX308CPE,Analog Devices Inc.,Obsolete,-,8:1,100Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX308-MAX309.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/175_16-DIP.jpg,IC MUX 8:1 100OHM 16DIP
MAX308CSE,Analog Devices Inc.,Obsolete,-,8:1,100Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX308-MAX309.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/175_16%20SOIC.jpg,IC MUX 8:1 100OHM 16SOIC
MAX309CPE,Analog Devices Inc.,Obsolete,SP4T,4:1,100Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX308-MAX309.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/175_16-DIP.jpg,IC SWITCH SP4T X 2 100OHM 16DIP
MAX309CSE,Analog Devices Inc.,Obsolete,SP4T,4:1,100Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX308-MAX309.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/175_16%20SOIC.jpg,IC SWITCH SP4T X 2 100OHM 16SOIC
MAX317CPA,Analog Devices Inc.,Obsolete,SPST - NC,1:1,35Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX317-MAX319.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/376/8-DIP.jpg,IC SWITCH SPST-NC X 1 35OHM 8DIP
MAX317CSA,Analog Devices Inc.,Obsolete,SPST - NC,1:1,35Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX317-MAX319.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/192/175%7E21-0041%7ESA%7E8.JPG,IC SWITCH SPST-NCX1 35OHM 8SOIC
MAX318CPA,Analog Devices Inc.,Obsolete,SPST - NO,1:1,35Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX317-MAX319.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/376/8-DIP.jpg,IC SWITCH SPST-NO X 1 35OHM 8DIP
MAX318CSA,Analog Devices Inc.,Obsolete,SPST - NO,1:1,35Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX317-MAX319.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/192/175%7E21-0041%7ESA%7E8.JPG,IC SWITCH SPST-NOX1 35OHM 8SOIC
MAX319CPA,Analog Devices Inc.,Obsolete,SPDT,2:1,35Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/MAX317-MAX319.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/376/8-DIP.jpg,IC SWITCH SPDT X 1 35OHM 8DIP
